2026-08-07 00:32:37 | INFO     | jarvis.nlp           | NLP: 'en qué ventana estoy' → intent=MOVER (80%) ent={'objeto': 'en que ventana estoy'}
2026-08-07 00:32:37 | INFO     | jarvis.voz           | TTS: Para mover necesito saber el origen y destino. Ej: 'mueve proyecto al escritorio'.
2026-08-07 00:32:49 | INFO     | jarvis.escucha       | Texto reconocido: 'qué hora es'
2026-08-07 00:32:49 | INFO     | jarvis.main          | Usuario dijo: 'qué hora es'
2026-08-07 00:32:49 | INFO     | jarvis.cerebro       | Procesando: 'qué hora es' (estado=ESCUCHANDO)
2026-08-07 00:32:49 | INFO     | jarvis.nlp           | NLP: 'qué hora es' → intent=HORA (100%) ent={}
2026-08-07 00:32:49 | INFO     | jarvis.voz           | TTS: Son las 12:32 AM.
2026-08-07 00:32:54 | INFO     | jarvis.escucha       | Texto reconocido: 'descansa'
2026-08-07 00:32:54 | INFO     | jarvis.main          | Usuario dijo: 'descansa'
2026-08-07 00:32:54 | INFO     | jarvis.cerebro       | Procesando: 'descansa' (estado=ESCUCHANDO)
2026-08-07 00:32:54 | INFO     | jarvis.cerebro       | Sesión desactivada. Modo reposo.
2026-08-07 00:32:54 | INFO     | jarvis.voz           | TTS: Descansando. Estaré aquí.
2026-08-07 00:33:02 | INFO     | jarvis.escucha       | Texto reconocido: 'abre bases de datos'
2026-08-07 00:33:02 | INFO     | jarvis.main          | Usuario dijo: 'abre bases de datos'
2026-08-07 00:33:02 | INFO     | jarvis.cerebro       | Procesando: 'abre bases de datos' (estado=REPOSO)
2026-08-07 00:33:07 | INFO     | jarvis.escucha       | Texto reconocido: 'jarvis'
2026-08-07 00:33:07 | INFO     | jarvis.main          | Usuario dijo: 'jarvis'
2026-08-07 00:33:07 | INFO     | jarvis.cerebro       | Procesando: 'jarvis' (estado=REPOSO)
2026-08-07 00:33:07 | INFO     | jarvis.cerebro       | Sesión activada.
2026-08-07 00:33:07 | INFO     | jarvis.voz           | TTS: ¿En qué puedo ayudarte?
2026-08-07 00:33:17 | INFO     | jarvis.escucha       | Texto reconocido: 'qué significa zampoña'
2026-08-07 00:33:17 | INFO     | jarvis.main          | Usuario dijo: 'qué significa zampoña'
2026-08-07 00:33:17 | INFO     | jarvis.cerebro       | Procesando: 'qué significa zampoña' (estado=ESCUCHANDO)
2026-08-07 00:33:17 | INFO     | jarvis.nlp           | NLP: 'qué significa zampoña' → intent=DEFINIR (92%) ent={'palabra': 'zampoña'}
2026-08-07 00:33:17 | INFO     | jarvis.definiciones  | Buscando definición de: 'zampoña'
